exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
229,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
230,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
231,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
232,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
233,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
234,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
235,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
236,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
237,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
238,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
239,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
240,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
241,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
242,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
243,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
244,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
245,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
246,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
247,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
248,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
249,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
250,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
251,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
252,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
253,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
254,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
255,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
256,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
257,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
258,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
259,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
260,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
261,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
262,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
263,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
264,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
265,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
266,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
267,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
268,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
269,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
270,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
271,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
272,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
273,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
274,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
275,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
276,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
277,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
278,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
279,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
280,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
281,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
282,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
283,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
284,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
285,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
286,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
287,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
288,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
289,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
290,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
291,514,0,0,0,2.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
