exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
254,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
255,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
256,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
257,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
258,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
259,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
260,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
261,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
262,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
263,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
264,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
265,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
266,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
267,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
268,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
269,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
270,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
271,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
272,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
273,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
274,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
275,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
276,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
277,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
278,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
279,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
280,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
281,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
282,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
283,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
284,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
285,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
286,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
287,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
288,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
289,514,0,0,0,2.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,original
